Date,Close/Last,Volume,Open,High,Low
11/04/2022,$138.38,140814800,$142.09,$142.67,$134.38
11/03/2022,$138.88,97918520,$142.06,$142.8,$138.75
11/02/2022,$145.03,93604620,$148.945,$152.17,$145
11/01/2022,$150.65,80379350,$155.08,$155.45,$149.13
10/31/2022,$153.34,97943170,$153.155,$154.24,$151.92
10/28/2022,$155.74,164762400,$148.2,$157.5,$147.82
10/27/2022,$144.8,109180200,$148.07,$149.046,$144.13
10/26/2022,$149.35,88436170,$150.96,$151.99,$148.04
10/25/2022,$152.34,74732290,$150.09,$152.49,$149.36
10/24/2022,$149.45,75981920,$147.185,$150.23,$146
10/21/2022,$147.27,86548610,$142.87,$147.8479,$142.649
10/20/2022,$143.39,64521990,$143.02,$145.89,$142.65
10/19/2022,$143.86,61758340,$141.69,$144.9492,$141.5
10/18/2022,$143.75,99136610,$145.49,$146.7,$140.61
10/17/2022,$142.41,85250940,$141.065,$142.9,$140.27
10/14/2022,$138.38,88597970,$144.31,$144.52,$138.19
10/13/2022,$142.99,113224000,$134.99,$143.59,$134.37
10/12/2022,$138.34,70433740,$139.13,$140.36,$138.16
10/11/2022,$138.98,77033670,$139.9,$141.35,$138.22
10/10/2022,$140.42,74899000,$140.42,$141.89,$138.5729
10/07/2022,$140.09,85925560,$142.54,$143.1,$139.445
10/06/2022,$145.43,68402170,$145.81,$147.54,$145.22
10/05/2022,$146.4,79470970,$144.075,$147.38,$143.01
10/04/2022,$146.1,87830060,$145.03,$146.22,$144.26
10/03/2022,$142.45,114311700,$138.21,$143.07,$137.685
09/30/2022,$138.2,124925300,$141.28,$143.1,$138
09/29/2022,$142.48,128138200,$146.1,$146.72,$140.68
09/28/2022,$149.84,146691400,$147.64,$150.6414,$144.84
09/27/2022,$151.76,84442740,$152.74,$154.72,$149.945
09/26/2022,$150.77,93339410,$149.66,$153.7701,$149.64
09/23/2022,$150.43,96029910,$151.19,$151.47,$148.56
09/22/2022,$152.74,86652540,$152.38,$154.47,$150.91
09/21/2022,$153.72,101696800,$157.34,$158.74,$153.6
09/20/2022,$156.9,107689800,$153.4,$158.08,$153.08
09/19/2022,$154.48,81474250,$149.31,$154.56,$149.1
