Date,Close/Last,Volume,Open,High,Low
11/04/2022,$86.7,40173280,$85.51,$86.73,$83.88
11/03/2022,$83.49,48510360,$86.345,$86.55,$83.45
11/02/2022,$87.07,43553550,$90.91,$91.3,$87.01
11/01/2022,$90.5,43220600,$95.59,$96.165,$90.43
10/31/2022,$94.66,29868710,$95.78,$96.35,$94.38
10/28/2022,$96.58,35696930,$92.53,$96.86,$92.3225
10/27/2022,$92.6,54036490,$94.31,$95.17,$91.9
10/26/2022,$94.82,71671810,$96.76,$98.54,$94.57
10/25/2022,$104.93,29910170,$103.3,$105.0999,$103.02
10/24/2022,$102.97,24680830,$102.09,$103.1,$100.3
10/21/2022,$101.48,28988730,$98.46,$101.62,$98.23
10/20/2022,$100.53,25125080,$100.82,$103,$99.97
10/19/2022,$100.29,21573690,$100.7,$101.6592,$99.635
10/18/2022,$101.39,21610540,$103.94,$104.22,$100.65
10/17/2022,$100.78,23311600,$99.52,$101.77,$99.51
10/14/2022,$97.18,22624830,$100.625,$101.29,$97.03
10/13/2022,$99.71,32812220,$95.93,$100.53,$95.27
10/12/2022,$98.3,17343430,$98.27,$99.6476,$97.67
10/11/2022,$98.05,21617730,$98.25,$100.12,$97.25
10/10/2022,$98.71,16529900,$99.85,$99.99,$97.87
10/07/2022,$99.57,24249910,$100.65,$101.42,$99.21
10/06/2022,$102.24,17156240,$101.5,$103.73,$101.5
10/05/2022,$102.22,18475520,$100.69,$102.74,$99.74
10/04/2022,$102.41,22580930,$101.04,$102.72,$101.04
10/03/2022,$99.3,24840030,$97.22,$99.97,$97.02
09/30/2022,$96.15,26277830,$97.73,$99.494,$96.03
09/29/2022,$98.09,21921520,$99.3,$99.3,$96.52
09/28/2022,$100.74,24617000,$98.02,$101.4,$97.8
09/27/2022,$98.09,24224990,$99.91,$100.46,$97.34
09/26/2022,$98.81,22437940,$98.61,$100.44,$98.38
09/23/2022,$99.17,25656960,$100.06,$100.11,$98.01
09/22/2022,$100.57,21272680,$99.45,$101.68,$99.41
09/21/2022,$100.01,26596760,$102.24,$103.49,$99.99
09/20/2022,$101.83,24001670,$102.88,$103.17,$101.12
09/19/2022,$103.85,19738600,$102.54,$104.02,$102.37
09/16/2022,$103.63,64540120,$102.97,$104.03,$101.855
09/15/2022,$103.9,26494930,$105.01,$106.21,$103.31
09/14/2022,$105.87,22115810,$105.44,$106.1,$104.5
09/13/2022,$105.31,33014990,$108.89,$109.37,$105
09/12/2022,$111.87,19732910,$111.99,$112.64,$110.93
09/09/2022,$111.78,21745030,$110.05,$112,$110
09/08/2022,$109.42,21660650,$109.18,$110.58,$108.06
09/07/2022,$110.48,22987180,$107.76,$110.99,$107.615
09/06/2022,$107.48,20565050,$108.135,$108.88,$106.51
09/02/2022,$108.68,20618080,$111.34,$111.675,$108.13
09/01/2022,$110.55,22784390,$109.2,$111.22,$108.19
08/31/2022,$109.15,25897980,$111.63,$111.77,$109.05
08/30/2022,$109.91,20548200,$111.03,$111.37,$108.8
08/29/2022,$110.34,20386140,$110.78,$111.96,$109.81
08/26/2022,$111.3,31698670,$115.81,$116.6,$111.22
08/25/2022,$117.7,14874670,$115.15,$117.78,$115.05
08/24/2022,$114.7,16051170,$114.45,$115.7171,$113.78
08/23/2022,$114.77,14390690,$114.32,$115.93,$114.3
08/22/2022,$115.07,19316020,$116.1,$116.5,$114.67
08/19/2022,$118.12,20186980,$119.87,$120,$117.67
08/18/2022,$120.86,15652030,$120.23,$121.69,$119.5502
08/17/2022,$120.32,17589160,$120.93,$122.15,$120.2
08/16/2022,$122.51,15626170,$122.32,$123.2276,$121.535
08/15/2022,$122.88,15524950,$122.21,$123.26,$121.57
08/12/2022,$122.65,16121090,$121.16,$122.65,$120.4001
08/11/2022,$119.82,16671630,$122.08,$122.3402,$119.55
08/10/2022,$120.65,20497020,$119.59,$121.78,$119.36
08/09/2022,$117.5,15424260,$117.99,$118.2,$116.56
08/08/2022,$118.14,17061110,$119.12,$120.86,$117.83
08/05/2022,$118.22,15615660,$116.93,$118.86,$116.71
08/04/2022,$118.87,15757700,$118.3,$119.5,$117.71
08/03/2022,$118.78,25302820,$116.34,$119.42,$116.15
08/02/2022,$115.9,17911040,$114.43,$117.08,$114.26
08/01/2022,$115.48,22856200,$115.53,$117.12,$114.69
07/29/2022,$116.64,31336180,$113.4,$116.9,$113.23
07/28/2022,$114.59,23303840,$112.8,$114.7,$111.851
07/27/2022,$113.6,41474620,$109.6,$114.4,$108.42
07/26/2022,$105.44,36626630,$107.43,$107.74,$104.76
07/25/2022,$108.21,28289940,$108.88,$110.58,$107.01
07/22/2022,$108.36,44455300,$111.81,$113.18,$107.6
07/21/2022,$115.04,27267850,$115.09,$115.21,$111.91
07/20/2022,$114.7,26780090,$114.06,$116.33,$113.26
07/19/2022,$114.62,30992330,$111.73,$114.81,$110.5
07/18/2022,$109.91,33353990,$113.44,$114.8,$109.3
07/15/2022,$112.767,34330760,$112.963,$114.0005,$111.8225
